carrier_code,date,month,day,year,flight_number,tail_number,destination_airport,airline_name
B6,2021-12-31T05:00:00Z,12,31,2021,0341,N279JB,SAV,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0383,N192JB,MCO,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0385,N179JB,RDU,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0486,N346JB,ROC,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0518,N193JB,BOS,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0523,N2105J,LAX,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0525,N216JB,TPA,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0601,N651JB,FLL,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0725,N531JL,SAT,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0745,N569JB,PSE,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0753,N607JB,PBI,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0776,N179JB,ORH,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0823,N983JT,LAX,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,0915,N984JB,SFO,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,1183,N995JL,MCO,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,1201,N547JB,FLL,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,1277,N805JB,JAX,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,1601,N2060J,FLL,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,1701,N586JB,FLL,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,2155,N351JB,EYW,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,2516,N317JB,SYR,JetBlue Airways
B6,2021-12-31T05:00:00Z,12,31,2021,2893,N636JB,MIA,JetBlue Airways
DL,2021-12-31T05:00:00Z,12,31,2021,0430,N836MH,LAS,Delta Air Lines
9E,2022-01-01T05:00:00Z,1,1,2022,4654,N298PQ,DTW,Endeavor Air
AA,2022-01-01T05:00:00Z,1,1,2022,1245,N946AN,ORD,American Airlines
AA,2022-01-01T05:00:00Z,1,1,2022,2813,N967NN,AUS,American Airlines
AS,2022-01-01T05:00:00Z,1,1,2022,0479,N478AS,PDX,Alaska Airlines
AS,2022-01-01T05:00:00Z,1,1,2022,0657,N927VA,SFO,Alaska Airlines
AS,2022-01-01T05:00:00Z,1,1,2022,0900,N431AS,SAN,Alaska Airlines
B6,2022-01-01T05:00:00Z,1,1,2022,0001,N998JE,FLL,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0163,N231JB,SRQ,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0186,N298JB,ROC,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0234,N206JB,BTV,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0285,N346JB,RDU,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0553,N570JB,PBI,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0723,N2105J,LAX,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0803,N779JB,SJU,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,0841,N351JB,SAV,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,1083,N192JB,MCO,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,1119,N351JB,ATL,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,1483,N966JT,MCO,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,2155,N374JB,EYW,JetBlue Airways
B6,2022-01-01T05:00:00Z,1,1,2022,2402,N206JB,BUF,JetBlue Airways
DL,2022-01-01T05:00:00Z,1,1,2022,0343,N169DZ,SFO,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,0350,N717TW,SAN,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,0351,N840MH,LAX,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,0353,N828MH,LAX,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,0371,N827MH,LAS,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,0522,N624AG,SEA,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,0675,N113DQ,BOS,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,0863,N895DN,ATL,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,1077,N876DN,DEN,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,1272,N330DX,FLL,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,2090,N3761R,TPA,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,2219,N3765,MIA,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,2265,N824DN,RSW,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,2422,N111DC,MCO,Delta Air Lines
DL,2022-01-01T05:00:00Z,1,1,2022,2994,N108DQ,PBI,Delta Air Lines
UA,2022-01-01T05:00:00Z,1,1,2022,0521,NA,SFO,United Air Lines
YX,2022-01-01T05:00:00Z,1,1,2022,5607,N226JQ,ORD,Republic Airways
YX,2022-01-01T05:00:00Z,1,1,2022,5608,N231JQ,ORD,Republic Airways
YX,2022-01-01T05:00:00Z,1,1,2022,5809,N214JQ,ORD,Republic Airways
